"name"	"SN2014X"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003820.txt'>CBET 3920</a>"	"alias"	"2"
"aliases"	"SN2014X,PSN J12104022-3403407"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"Stu Parker"
"discovermonth"	"2"
"discoveryear"	"2014"
"galdec"	"-340326"
"galra"	"121039"
"host"	"ESO 379-G31"
"hvel"	"6815"
"maxday"	"28"
"maxmonth"	"2"
"maxyear"	"2014"
"redshift"	"0.021"
"sndec"	"-34:03:40.7"
"snra"	"12:10:40.22"
"photometry"	"timeunit"	"MJD"	"time"	"56716.5"	"abmag"	"16.8"	"source"	"2,1"
