"name"	"SN2009nh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002101.txt'>CBET 2101</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009nh,CSS091126:091059+153641"
"claimedtype"	"Ic"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+153641"
"galra"	"091059"
"host"	"A091059+1536"
"maxday"	"25"
"maxmonth"	"11"
"maxyear"	"2009"
"sndec"	"+15:36:41.1"
"snra"	"09:10:59.01"
"photometry"	"timeunit"	"MJD"	"time"	"55160.5"	"abmag"	"19.3"	"source"	"2,1"
