"name"	"SN2008iw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001766.txt'>CBET 1766</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008iw,CSS080921:230620+094038"
"claimedtype"	"unk"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2008"
"galdec"	"+094037"
"galra"	"230620"
"host"	"A230620+0940"
"hvel"	"31200"
"maxday"	"20"
"maxmonth"	"9"
"maxyear"	"2008"
"redshift"	"0.11"
"sndec"	"+09:40:37.6"
"snra"	"23:06:20.03"
"photometry"	"timeunit"	"MJD"	"time"	"54729.5"	"abmag"	"19.3"	"source"	"2,1"
