"name"	"SN2013dh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003561.txt'>CBET 3561</a>"	"alias"	"2"
"aliases"	"SN2013dh,PSN J15300109+1259129"
"claimedtype"	"Ia-91T"
"discoverday"	"6"
"discoverer"	"LOSS"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+125921"
"galra"	"153001"
"host"	"NGC 5936"
"hvel"	"4047"
"maxday"	"6"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.013356"
"sndec"	"+12:59:12.9"
"snra"	"15:30:01.09"
"photometry"	"timeunit"	"MJD"	"time"	"56479.5"	"abmag"	"16.0"	"source"	"2,1"
