"name"	"SN2001fx"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ib"
"discoverday"	"20"
"discoverer"	"LOTOSS"
"discovermonth"	"10"
"discoveryear"	"2001"
"galdec"	"-222448"
"galra"	"233932"
"host"	"IC 5345"
"hvel"	"8021"
"maxday"	"8"
"maxmonth"	"11"
"maxyear"	"2001"
"redshift"	"0.0271"
"sndec"	"-222446.3"
"snra"	"233932.72"
"photometry"	"timeunit"	"MJD"	"time"	"52202.2"	"band"	"C"	"abmag"	"20"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52207.2"	"band"	"C"	"abmag"	"20"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52214.2"	"band"	"C"	"abmag"	"20"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52221.2"	"band"	"C"	"abmag"	"18.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52223.2"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52224.2"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
