"name"	"SN2010de"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002296.txt'>CBET 2296</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010de,MLS100410:161229-004441"
"claimedtype"	"unk"
"discoverday"	"9"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2010"
"galdec"	"-004441"
"galra"	"161229"
"host"	"A161229-0044"
"maxday"	"9"
"maxmonth"	"4"
"maxyear"	"2010"
"sndec"	"-00:44:41.1"
"snra"	"16:12:29.20"
"photometry"	"timeunit"	"MJD"	"time"	"55295.5"	"abmag"	"17.4"	"source"	"2,1"
