"name"	"SN2013am"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003440.txt'>CBET 3440</a>"	"alias"	"2"
"aliases"	"SN2013am,PSN J11185695+1303494"
"claimedtype"	"II"
"discoverday"	"20"
"discoverer"	"M. Sugano"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"+130533"
"galra"	"111856"
"host"	"M65"
"hvel"	"775"
"maxday"	"20"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.002692"
"sndec"	"+13:03:49.3"
"snra"	"11:18:56.93"
"photometry"	"timeunit"	"MJD"	"time"	"56371.5"	"abmag"	"15.6"	"source"	"2,1"
