"name"	"SN2015R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004129.txt'>CBET 4129</a>"	"alias"	"2"
"aliases"	"SN2015R,PSN J13443367+0446535"
"claimedtype"	"II"
"discoverday"	"8"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"4"
"discoveryear"	"2015"
"galdec"	"+044633"
"galra"	"134434"
"host"	"UGC 8690"
"hvel"	"6938"
"maxday"	"8"
"maxmonth"	"4"
"maxyear"	"2015"
"redshift"	"0.023143"
"sndec"	"+04:46:53.5"
"snra"	"13:44:33.67"
"photometry"	"timeunit"	"MJD"	"time"	"57120.5"	"abmag"	"17.8"	"source"	"2,1"
