"name"	"SN2003jw"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"ESSENCE"
"discovermonth"	"10"
"discoveryear"	"2003"
"galdec"	"-084536"
"galra"	"023106"
"host"	"A023106-0845"
"hvel"	"76900"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2003"
"redshift"	"0.3"
"sndec"	"-084536.5"
"snra"	"023106.84"
"photometry"	"timeunit"	"MJD"	"time"	"52940.0"	"band"	"R"	"abmag"	"22.6"	"source"	"1"
