"name"	"SN2011dg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002732.txt'>CBET 2732</a>"	"alias"	"2"
"aliases"	"SN2011dg,PSN J15050910-4330462"
"claimedtype"	"IIP"
"discoverday"	"17"
"discoverer"	"CHASE"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"-433034"
"galra"	"150511"
"host"	"IC 4523"
"hvel"	"4757"
"maxday"	"17"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.0157"
"sndec"	"-43:30:46.2"
"snra"	"15:05:09.10"
"photometry"	"timeunit"	"MJD"	"time"	"55698.5"	"abmag"	"17.1"	"source"	"2,1"
