"name"	"SN2010gl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002300/CBET002382.txt'>CBET 2382</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010gl"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"LOSS"
"discovermonth"	"7"
"discoveryear"	"2010"
"galdec"	"+593734"
"galra"	"163141"
"host"	"NGC 6189"
"hvel"	"5523"
"maxday"	"17"
"maxmonth"	"7"
"maxyear"	"2010"
"redshift"	"0.0188"
"sndec"	"+59:37:27.2"
"snra"	"16:31:38.62"
"photometry"	"timeunit"	"MJD"	"time"	"55394.5"	"abmag"	"15.1"	"source"	"2,1"
