"name"	"SN2012cl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003125.txt'>CBET 3125</a>"	"alias"	"2"
"aliases"	"SN2012cl,PSN J10145093-4337488"
"claimedtype"	"IIP"
"discoverday"	"9"
"discoverer"	"CHASE"
"discovermonth"	"5"
"discoveryear"	"2012"
"galdec"	"-433709"
"galra"	"101457"
"host"	"ESO 263-G23"
"hvel"	"3060"
"maxday"	"9"
"maxmonth"	"5"
"maxyear"	"2012"
"redshift"	"0.0101"
"sndec"	"-43:37:48.8"
"snra"	"10:14:50.93"
"photometry"	"timeunit"	"MJD"	"time"	"56056.5"	"abmag"	"16.0"	"source"	"2,1"
