"name"	"SN2013dd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003552.txt'>CBET 3552</a>"	"alias"	"2"
"aliases"	"SN2013dd,PS1-13czm"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"MASTER"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+135706"
"galra"	"153605"
"host"	"PGC 1445026"
"hvel"	"15615"
"maxday"	"26"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.05205"
"sndec"	"+13:57:06.9"
"snra"	"15:36:05.15"
"photometry"	"timeunit"	"MJD"	"time"	"56438.5"	"abmag"	"17.5"	"source"	"2,1"
