"name"	"SN2012ac"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003023.txt'>CBET 3023</a>"	"alias"	"2"
"aliases"	"SN2012ac,CSS120211:033433+180440"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+180440"
"galra"	"033433"
"host"	"A033433+1804"
"maxday"	"10"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"+18:04:40.3"
"snra"	"03:34:33.42"
"photometry"	"timeunit"	"MJD"	"time"	"55967.5"	"abmag"	"18.6"	"source"	"2,1"
