"name"	"SN2010bh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002227.txt'>CBET 2227</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010bh,GRB 100316D"
"claimedtype"	"Ic"
"discoverday"	"15"
"discoverer"	"BAT"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"-561520"
"galra"	"071031"
"host"	"A071031-5615"
"hvel"	"17700"
"maxday"	"15"
"maxmonth"	"3"
"maxyear"	"2010"
"redshift"	"0.059"
"sndec"	"-56:15:20.2"
"snra"	"07:10:31.8"
"photometry"	"timeunit"	"MJD"	"time"	"55270.5"	"abmag"	"20.0"	"source"	"2,1"
