"name"	"SN2011jk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J07274305+2006217.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"SN2011jk,PSN J07274305+2006217"
"claimedtype"	"IIP"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+200608"
"galra"	"072544"
"host"	"UGC 3843"
"hvel"	"5273"
"maxday"	"26"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0176"
"sndec"	"+20:06:21.7"
"snra"	"07:25:43.04"
"photometry"	"timeunit"	"MJD"	"time"	"55891.5"	"abmag"	"19.2"	"source"	"2,1"
