"name"	"ASASSN-15us"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8474'>ATEL 8474</a>"	"alias"	"2"
"aliases"	"ASASSN-15us,PSN J22090961-4708017"
"claimedtype"	"unk"
"discoverday"	"28"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"12"
"discoveryear"	"2015"
"host"	"NGC 7213"
"maxday"	"28"
"maxmonth"	"12"
"maxyear"	"2015"
"sndec"	"-47:08:02.5"
"snra"	"22:09:09.64"
"photometry"	"timeunit"	"MJD"	"time"	"57384.5"	"abmag"	"14.7"	"source"	"2,1"
