"name"	"SN2003H"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ib pec"
"discoverday"	"8"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2003"
"galdec"	"-212221"
"galra"	"061622"
"host"	"NGC 2207"
"hvel"	"2747"
"maxday"	"8"
"maxmonth"	"1"
"maxyear"	"2003"
"redshift"	"0.00921"
"sndec"	"-212223.8"
"snra"	"061625.68"
"photometry"	"timeunit"	"MJD"	"time"	"52647.3"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52648.6"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
