"name"	"SN2002eh"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"LOTOSS"
"discovermonth"	"8"
"discoveryear"	"2002"
"galdec"	"+315444"
"galra"	"022608"
"host"	"NGC 917"
"hvel"	"5427"
"maxday"	"1"
"maxmonth"	"8"
"maxyear"	"2002"
"redshift"	"0.0183"
"sndec"	"+315445.2"
"snra"	"022608.45"
"photometry"	"timeunit"	"MJD"	"time"	"52487.5"	"band"	"C"	"abmag"	"16.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52488.1"	"band"	"C"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52489.4"	"band"	"C"	"abmag"	"16.4"	"source"	"1,2"
