"name"	"PSN J05590197-5228224"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J05590197-5228224.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J05590197-5228224,SNhunt125"
"claimedtype"	"unk"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"host"	"PGC 18180"
"maxday"	"14"
"maxmonth"	"5"
"maxyear"	"2012"
"sndec"	"-52:28:22.4"
"snra"	"05:59:01.97"
"photometry"	"timeunit"	"MJD"	"time"	"56061.5"	"abmag"	"16.7"	"source"	"2,1"
