"name"	"SN2011jj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002955.txt'>CBET 2955</a>"	"alias"	"2"
"aliases"	"SN2011jj,PSN J01263180+3137026"
"claimedtype"	"IIP"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+313659"
"galra"	"012634"
"host"	"MCG +5-4-59"
"hvel"	"13552"
"maxday"	"21"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0452"
"sndec"	"+31:37:02.5"
"snra"	"01:26:31.79"
"photometry"	"timeunit"	"MJD"	"time"	"55916.5"	"abmag"	"19.2"	"source"	"2,1"
