"name"	"SN2010ap"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002214.txt'>CBET 2214</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010ap,PS1-1000031"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"PS1"
"discovermonth"	"2"
"discoveryear"	"2010"
"galdec"	"+440025"
"galra"	"083612"
"host"	"A083612+4400"
"hvel"	"39100"
"maxday"	"11"
"maxmonth"	"2"
"maxyear"	"2010"
"redshift"	"0.14"
"sndec"	"+44:00:25.51"
"snra"	"08:36:12.606"
"photometry"	"timeunit"	"MJD"	"time"	"55238.5"	"abmag"	"20.4"	"source"	"2,1"
