"name"	"SDSS J130623.89-014033.6"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3474'>ATEL 3474</a>"	"alias"	"2"
"aliases"	"SDSS J130623.89-014033.6"
"claimedtype"	"II"
"discoverday"	"31"
"discoverer"	"SDSS"
"discovermonth"	"5"
"discoveryear"	"2011"
"maxday"	"31"
"maxmonth"	"5"
"maxyear"	"2011"
"sndec"	"-01:40:33.6"
"snra"	"13:06:23.89"
"photometry"	"timeunit"	"MJD"	"time"	"55712.5"	"abmag"	"17.7"	"source"	"2,1"
