"name"	"SN2012P"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002993.txt'>CBET 2993</a>"	"alias"	"2"
"aliases"	"SN2012P,PSN J14595904+0153251"
"claimedtype"	"IIb"
"discoverday"	"21"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"+015328"
"galra"	"150001"
"host"	"NGC 5806"
"hvel"	"1351"
"maxday"	"21"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.004533"
"sndec"	"+01:53:24.4"
"snra"	"14:59:59.04"
"photometry"	"timeunit"	"MJD"	"time"	"55947.5"	"abmag"	"15.0"	"source"	"2,1"
