"name"	"SN1999gk"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"27"
"discoverer"	"Berlind"
"discovermonth"	"12"
"discoveryear"	"1999"
"galdec"	"-003340"
"galra"	"124351"
"host"	"NGC 4653"
"hvel"	"2547"
"maxday"	"3"
"maxmonth"	"1"
"maxyear"	"2000"
"redshift"	"0.00853"
"sndec"	"-003255.4"
"snra"	"124351.91"
"photometry"	"timeunit"	"MJD"	"time"	"51539.81"	"band"	"C"	"abmag"	"15.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51544.18"	"band"	"C"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51546.12"	"band"	"C"	"abmag"	"15.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51546.2"	"band"	"C"	"abmag"	"16.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51553.01"	"band"	"C"	"abmag"	"15.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51571.72"	"band"	"C"	"abmag"	"16.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51599.03"	"band"	"R"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51607.97"	"band"	"R"	"abmag"	"16.5"	"source"	"1,2"
