"name"	"PS15xr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15xr,iPTF15agp"
"claimedtype"	"II"
"discoverday"	"29"
"discoverer"	"PS1"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"29"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.0305"
"sndec"	"+45:16:31.2"
"snra"	"14:56:20.34"
"photometry"	"timeunit"	"MJD"	"time"	"57110.5"	"abmag"	"19.0"	"source"	"2,1"
