"name"	"SN2009de"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001766.txt'>CBET 1766</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009de,K0901-1"
"claimedtype"	"unk"
"discoverday"	"1"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2009"
"galdec"	"+175057"
"galra"	"130037"
"host"	"A130037+1750"
"hvel"	"39100"
"maxday"	"1"
"maxmonth"	"1"
"maxyear"	"2009"
"redshift"	"0.14"
"sndec"	"+17:50:57.0"
"snra"	"13:00:37.49"
"photometry"	"timeunit"	"MJD"	"time"	"54832.5"	"abmag"	"18.8"	"source"	"2,1"
