"name"	"SN2009bn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001733.txt'>CBET 1733</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009bn,CSS090227:141241+130946"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2009"
"galdec"	"+130945"
"galra"	"141241"
"host"	"A141241+1309"
"maxday"	"26"
"maxmonth"	"2"
"maxyear"	"2009"
"sndec"	"+13:09:46.1"
"snra"	"14:12:40.74"
"photometry"	"timeunit"	"MJD"	"time"	"54888.5"	"abmag"	"18.9"	"source"	"2,1"
