"name"	"SN2012bn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003078.txt'>CBET 3078</a>"	"alias"	"2"
"aliases"	"SN2012bn,PSN J15411344+1534222"
"claimedtype"	"II"
"discoverday"	"27"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"+153423"
"galra"	"154112"
"host"	"IC 1133"
"hvel"	"4051"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.013513"
"sndec"	"+15:34:22.2"
"snra"	"15:41:13.44"
"photometry"	"timeunit"	"MJD"	"time"	"56013.5"	"abmag"	"17.3"	"source"	"2,1"
