"name"	"SN1054"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://en.wikipedia.org/wiki/SN_1054'>WikiPedia</a>"	"alias"	"2"
"aliases"	"SN1054,M1"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Chinese observers"
"discovermonth"	"12"
"discoveryear"	"1969"
"host"	"Milky Way"
"maxday"	"31"
"maxmonth"	"12"
"maxyear"	"1969"
"sndec"	"+22:00:52.0"
"snra"	"05:34:32.0"
"photometry"	"timeunit"	"MJD"	"time"	"40586.5"	"abmag"	"-4.0"	"source"	"2,1"
