"name"	"SN2012aj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003030.txt'>CBET 3030</a>"	"alias"	"2"
"aliases"	"SN2012aj,PSN J16270396+5136498"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"+513650"
"galra"	"162704"
"host"	"PGC 214498"
"hvel"	"9300"
"maxday"	"6"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.031"
"sndec"	"+51:36:49.8"
"snra"	"16:27:03.96"
"photometry"	"timeunit"	"MJD"	"time"	"55992.5"	"abmag"	"16.9"	"source"	"2,1"
