"name"	"SN2007pq"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+004411"
"galra"	"223713"
"host"	"A223713+0044"
"hvel"	"51600"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.19"
"sndec"	"+004411.0"
"snra"	"223713.94"
"photometry"	"timeunit"	"MJD"	"time"	"54388.0"	"band"	"g"	"abmag"	"22.1"	"source"	"1"
