"name"	"SN2011iz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002945.txt'>CBET 2945</a>"	"alias"	"2"
"aliases"	"SN2011iz,PSN J03213648+2233461"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+223346"
"galra"	"032136"
"host"	"A032136+2233"
"hvel"	"11400"
"maxday"	"3"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.038"
"sndec"	"+22:33:46.0"
"snra"	"03:21:36.47"
"photometry"	"timeunit"	"MJD"	"time"	"55898.5"	"abmag"	"17.2"	"source"	"2,1"
