"name"	"SN2012W"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003009.txt'>CBET 3009</a>"	"alias"	"2"
"aliases"	"SN2012W,PSN J00500895-0511175"
"claimedtype"	"II"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-051137"
"galra"	"005009"
"host"	"NGC 268"
"hvel"	"5485"
"maxday"	"28"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0183"
"sndec"	"-05:11:17.5"
"snra"	"00:50:08.95"
"photometry"	"timeunit"	"MJD"	"time"	"55954.5"	"abmag"	"15.9"	"source"	"2,1"
