"name"	"SN2011ay"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002678.txt'>CBET 2678</a>"	"alias"	"2"
"aliases"	"SN2011ay,PSN J07023406+5035250"
"claimedtype"	"Ia-pec"
"discoverday"	"17"
"discoverer"	"LOSS"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+503526"
"galra"	"070233"
"host"	"NGC 2315"
"hvel"	"6159"
"maxday"	"17"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.021"
"sndec"	"+50:35:25.0"
"snra"	"07:02:34.06"
"photometry"	"timeunit"	"MJD"	"time"	"55637.5"	"abmag"	"16.8"	"source"	"2,1"
