"name"	"Gaia15aaj"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"10"
"discovermonth"	"1"
"discoveryear"	"2015"
"maxday"	"10"
"maxmonth"	"1"
"maxyear"	"2015"
"sndec"	"34.43214"
"snra"	"237.77419"
"photometry"	"timeunit"	"MJD"	"time"	"57032.882"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"16.72"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57032.956"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"16.67"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57062.619"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.10"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57099.83"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"19.42"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57099.904"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"19.42"	"source"	"1"
