"name"	"SN2000du"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"14"
"discoverer"	"LOSS"
"discovermonth"	"10"
"discoveryear"	"2000"
"galdec"	"+190249"
"galra"	"073519"
"host"	"UGC 3920"
"hvel"	"8553"
"maxday"	"16"
"maxmonth"	"10"
"maxyear"	"2000"
"redshift"	"0.0289"
"sndec"	"+190243.5"
"snra"	"073519.78"
"photometry"	"timeunit"	"MJD"	"time"	"51831.5"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51833.5"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51842.15"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
