"name"	"SN2011aa"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002653.txt'>CBET 2653</a>"	"alias"	"2"
"aliases"	"SN2011aa,PSN J07364263+7426348"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"+742647"
"galra"	"073637"
"host"	"UGC 3906"
"hvel"	"3704"
"maxday"	"5"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.0124"
"sndec"	"+74:26:34.7"
"snra"	"07:36:42.63"
"photometry"	"timeunit"	"MJD"	"time"	"55597.5"	"abmag"	"13.9"	"source"	"2,1"
