"name"	"SN2006si"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"ESSENCE"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-034332"
"galra"	"020951"
"host"	"A020951-0343"
"hvel"	"115000"
"maxday"	"10"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.5"
"sndec"	"-034332.5"
"snra"	"020951.33"
"photometry"	"timeunit"	"MJD"	"time"	"54053.0"	"band"	"R"	"abmag"	"22.6"	"source"	"1"
