"name"	"SN2014cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003945.txt'>CBET 3945</a>"	"alias"	"2"
"aliases"	"SN2014cg,PSN J20043485+1244168"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"7"
"discoveryear"	"2014"
"galdec"	"+124424"
"galra"	"200434"
"host"	"UGC 11512"
"hvel"	"4417"
"maxday"	"17"
"maxmonth"	"7"
"maxyear"	"2014"
"redshift"	"0.0147"
"sndec"	"+12:44:16.8"
"snra"	"20:04:34.85"
"photometry"	"timeunit"	"MJD"	"time"	"56855.5"	"abmag"	"17.8"	"source"	"2,1"
