"name"	"SN2013H"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003385.txt'>CBET 3385</a>"	"alias"	"2"
"aliases"	"SN2013H,PSN J09063070-7549015"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Stu Parker"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"-754932"
"galra"	"090636"
"host"	"ESO 36-G19"
"hvel"	"4558"
"maxday"	"5"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.015487"
"sndec"	"-75:49:01.5"
"snra"	"09:06:30.70"
"photometry"	"timeunit"	"MJD"	"time"	"56297.5"	"abmag"	"16.5"	"source"	"2,1"
