"name"	"PTF12dhk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4470'>ATEL 4470</a>"	"alias"	"2"
"aliases"	"PTF12dhk,CSS120427:131511+531654"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"PTF"
"discovermonth"	"4"
"discoveryear"	"2012"
"maxday"	"20"
"maxmonth"	"4"
"maxyear"	"2012"
"redshift"	"0.07"
"sndec"	"+53:16:54.0"
"snra"	"13:15:11.07"
"photometry"	"timeunit"	"MJD"	"time"	"56037.5"	"abmag"	"19.5"	"source"	"2,1"
