"name"	"SN2012Z"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003014.txt'>CBET 3014</a>"	"alias"	"2"
"aliases"	"SN2012Z,PSN J03220535-1523156"
"claimedtype"	"Ia-pec"
"discoverday"	"17"
"discoverer"	"LOSS"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"-152400"
"galra"	"032207"
"host"	"NGC 1309"
"hvel"	"2257"
"maxday"	"17"
"maxmonth"	"2"
"maxyear"	"2012"
"redshift"	"0.0071"
"sndec"	"-15:23:15.6"
"snra"	"03:22:05.35"
"photometry"	"timeunit"	"MJD"	"time"	"55974.5"	"abmag"	"13.6"	"source"	"2,1"
