"name"	"SN2011ig"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002917.txt'>CBET 2917</a>"	"alias"	"2"
"aliases"	"SN2011ig,PSN J01055465-1220486"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-122048"
"galra"	"010554"
"host"	"A010554-1220"
"hvel"	"19500"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.065"
"sndec"	"-12:20:48.5"
"snra"	"01:05:54.65"
"photometry"	"timeunit"	"MJD"	"time"	"55884.5"	"abmag"	"17.5"	"source"	"2,1"
