"name"	"SN2003bp"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ib"
"discoverday"	"28"
"discoverer"	"LOTOSS"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"+171702"
"galra"	"082727"
"host"	"NGC 2596"
"hvel"	"5934"
"maxday"	"8"
"maxmonth"	"3"
"maxyear"	"2003"
"redshift"	"0.02"
"sndec"	"+171714.5"
"snra"	"082727.81"
"photometry"	"timeunit"	"MJD"	"time"	"52698.3"	"band"	"C"	"abmag"	"18.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52704.1"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52704.2"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52705.2"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52706.97"	"band"	"R"	"abmag"	"17"	"source"	"1,2"
