"name"	"SN2014ck"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003949.txt'>CBET 3949</a>"	"alias"	"2"
"aliases"	"SN2014ck,PSN J22453888+7309427"
"claimedtype"	"Ia-pec"
"discoverday"	"4"
"discoverer"	"LOSS"
"discovermonth"	"7"
"discoveryear"	"2014"
"galdec"	"+730943"
"galra"	"224538"
"host"	"UGC 12182"
"hvel"	"1534"
"maxday"	"4"
"maxmonth"	"7"
"maxyear"	"2014"
"redshift"	"0.00497"
"sndec"	"+73:09:42.7"
"snra"	"22:45:38.88"
"photometry"	"timeunit"	"MJD"	"time"	"56842.5"	"abmag"	"16.2"	"source"	"2,1"
