"name"	"SN2012aq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003038.txt'>CBET 3038</a>"	"alias"	"2"
"aliases"	"SN2012aq,CSS120224:145405+220541"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+220540"
"galra"	"145405"
"host"	"A145405+2205"
"maxday"	"28"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"+22:05:40.6"
"snra"	"14:54:05.13"
"photometry"	"timeunit"	"MJD"	"time"	"55985.5"	"abmag"	"17.4"	"source"	"2,1"
