"name"	"SN2012de"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003160.txt'>CBET 3160</a>"	"alias"	"2"
"aliases"	"SN2012de,MASTER J221505.32+101812.6"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"MASTER"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+101812"
"galra"	"221505"
"host"	"A221505+1018"
"hvel"	"27000"
"maxday"	"24"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.09"
"sndec"	"+10:18:12.6"
"snra"	"22:15:05.32"
"photometry"	"timeunit"	"MJD"	"time"	"56102.5"	"abmag"	"16.8"	"source"	"2,1"
