"name"	"SN2012em"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003217.txt'>CBET 3217</a>"	"alias"	"2"
"aliases"	"SN2012em,PSN J22440166+1551493"
"claimedtype"	"Ia-pec"
"discoverday"	"12"
"discoverer"	"B. Mikuz"
"discovermonth"	"9"
"discoveryear"	"2012"
"galdec"	"+155219"
"galra"	"224403"
"host"	"PGC 69614"
"hvel"	"11414"
"maxday"	"12"
"maxmonth"	"9"
"maxyear"	"2012"
"redshift"	"0.0381"
"sndec"	"+15:51:49.3"
"snra"	"22:44:01.66"
"photometry"	"timeunit"	"MJD"	"time"	"56182.5"	"abmag"	"17.8"	"source"	"2,1"
