"name"	"SN2013fs"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003671.txt'>CBET 3671</a>"	"alias"	"2"
"source"	"name"	"Jose Carrillo"	"alias"	"3"
"source"	"name"	"LLA"	"alias"	"4"
"aliases"	"SN2013fs,PSN J23194467+1011045"
"claimedtype"	"IIP"
"discoverday"	"9"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"10"
"discoveryear"	"2013"
"galdec"	"+101106"
"galra"	"231941"
"host"	"NGC 7610"
"hvel"	"3506"
"maxday"	"9"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.012"
"sndec"	"+10:11:04.5"
"snra"	"23:19:44.67"
"photometry"	"timeunit"	"MJD"	"time"	"56574.5"	"abmag"	"15.6"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56589.8076223"	"band"	"R"	"abmag"	"15.9"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56602.904"	"band"	"CV"	"abmag"	"16.6"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"56639.837"	"band"	"CV"	"abmag"	"16.8"	"source"	"4,1"
