"name"	"SN1999gr"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"Armstrong"
"discovermonth"	"12"
"discoveryear"	"1999"
"galdec"	"+291625"
"galra"	"120910"
"host"	"M+05-29-24"
"hvel"	"3890"
"maxday"	"13"
"maxmonth"	"12"
"maxyear"	"1999"
"redshift"	"0.0131"
"sndec"	"+291634.7"
"snra"	"120911.31"
"photometry"	"timeunit"	"MJD"	"time"	"51525.18"	"band"	"C"	"abmag"	"18.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51527.16"	"band"	"C"	"abmag"	"18.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51531.17"	"band"	"C"	"abmag"	"18.6"	"source"	"1,2"
