"name"	"SN2012cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003111.txt'>CBET 3111</a>"	"alias"	"2"
"aliases"	"SN2012cg,PSN J12271283+0925132"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"LOSS"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+092516"
"galra"	"122711"
"host"	"NGC 4424"
"hvel"	"440"
"maxday"	"2"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.001458"
"sndec"	"+09:25:13.2"
"snra"	"12:27:12.83"
"photometry"	"timeunit"	"MJD"	"time"	"56080.5"	"abmag"	"11.9"	"source"	"2,1"
