"name"	"PSN J01425036+0411547"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J01425036+0411547.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J01425036+0411547,SNhunt218"
"claimedtype"	"unk"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2013"
"maxday"	"25"
"maxmonth"	"10"
"maxyear"	"2013"
"sndec"	"+04:11:54.7"
"snra"	"01:42:50.36"
"photometry"	"timeunit"	"MJD"	"time"	"56590.5"	"abmag"	"19.1"	"source"	"2,1"
