"name"	"SN in MACSJ0717"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5496'>ATEL 5496</a>"	"alias"	"2"
"aliases"	"SN in MACSJ0717,HFF13Zar"
"claimedtype"	"unk"
"discoverday"	"16"
"discoverer"	"HST"
"discovermonth"	"10"
"discoveryear"	"2013"
"maxday"	"16"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.5458"
"sndec"	"+37:44:10.8"
"snra"	"07:17:24.93"
"photometry"	"timeunit"	"MJD"	"time"	"56581.5"	"abmag"	"23.5"	"source"	"2,1"
