"name"	"SN2011jx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J10290876+4604576.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"SN2011jx,PSN J10290876+4604576"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+460457"
"galra"	"102908"
"host"	"A102908+4604"
"hvel"	"25500"
"maxday"	"3"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.085"
"sndec"	"+46:04:57.5"
"snra"	"10:29:08.76"
"photometry"	"timeunit"	"MJD"	"time"	"55564.5"	"abmag"	"17.9"	"source"	"2,1"
