"name"	"SN2011cm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002733.txt'>CBET 2733</a>"	"alias"	"2"
"aliases"	"SN2011cm,CSS110414:171419+435955"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+435955"
"galra"	"171419"
"host"	"A171419+4359"
"hvel"	"9000"
"maxday"	"13"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.03"
"sndec"	"+43:59:55.2"
"snra"	"17:14:19.18"
"photometry"	"timeunit"	"MJD"	"time"	"55664.5"	"abmag"	"18.1"	"source"	"2,1"
