"name"	"ASASSN-15la"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7626'>ATEL 7626</a>"	"alias"	"2"
"aliases"	"ASASSN-15la,PS15bdj"
"claimedtype"	"Ia"
"discoverday"	"21"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"6"
"discoveryear"	"2015"
"host"	"NGC 5517"
"maxday"	"21"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.03"
"sndec"	"+35:42:39.8"
"snra"	"14:12:51.22"
"photometry"	"timeunit"	"MJD"	"time"	"57194.5"	"abmag"	"16.3"	"source"	"2,1"
