"name"	"SN2010lf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3031'>ATEL 3031</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010lf,MLS101112:010719+175909"
"claimedtype"	"IIP"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2010"
"galdec"	"+175908"
"galra"	"010719"
"host"	"CGCG 458-19"
"maxday"	"11"
"maxmonth"	"11"
"maxyear"	"2010"
"sndec"	"+17:59:08.6"
"snra"	"01:07:19.37"
"photometry"	"timeunit"	"MJD"	"time"	"55511.5"	"abmag"	"17.1"	"source"	"2,1"
