"name"	"SN2012eu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003231.txt'>CBET 3231</a>"	"alias"	"2"
"aliases"	"SN2012eu,PSN J03130416-0823317"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"-082355"
"galra"	"031304"
"host"	"PGC0145362"
"hvel"	"8982"
"maxday"	"26"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.03"
"sndec"	"-08:23:31.7"
"snra"	"03:13:04.16"
"photometry"	"timeunit"	"MJD"	"time"	"56165.5"	"abmag"	"17.3"	"source"	"2,1"
