"name"	"SN2010li"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002601.txt'>CBET 2601</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010li,CSS101128:020703+205114"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2010"
"galdec"	"+205113"
"galra"	"020702"
"host"	"A020702+2051"
"maxday"	"27"
"maxmonth"	"11"
"maxyear"	"2010"
"sndec"	"+20:51:13.9"
"snra"	"02:07:02.52"
"photometry"	"timeunit"	"MJD"	"time"	"55527.5"	"abmag"	"19.3"	"source"	"2,1"
