"name"	"SN2006ol"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"+005122"
"galra"	"232807"
"host"	"A232807+0051"
"hvel"	"33800"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.12"
"sndec"	"+005122.9"
"snra"	"232807.19"
"photometry"	"timeunit"	"MJD"	"time"	"54040.0"	"band"	"g"	"abmag"	"21.6"	"source"	"1"
