"name"	"MASTER 131320.36+692648.3"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3366'>ATEL 3366</a>"	"alias"	"2"
"aliases"	"MASTER 131320.36+692648.3"
"claimedtype"	"IIn?"
"discoverday"	"13"
"discoverer"	"MASTER"
"discovermonth"	"5"
"discoveryear"	"2011"
"maxday"	"13"
"maxmonth"	"5"
"maxyear"	"2011"
"sndec"	"+69:26:48.3"
"snra"	"13:13:20.36"
"photometry"	"timeunit"	"MJD"	"time"	"55694.5"	"abmag"	"16.1"	"source"	"2,1"
