"name"	"SN2002au"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"IIb"
"discoverday"	"1"
"discoverer"	"Martin, LOTOSS"
"discovermonth"	"2"
"discoveryear"	"2002"
"galdec"	"+055026"
"galra"	"093439"
"host"	"UGC 5100"
"hvel"	"5514"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2002"
"redshift"	"0.0186"
"sndec"	"+055015.7"
"snra"	"093437.60"
"photometry"	"timeunit"	"MJD"	"time"	"52306.3"	"band"	"C"	"abmag"	"20"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52313.3"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52314.22"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52315.14"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52315.3"	"band"	"C"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52335.09"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
