"name"	"SN2006hk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/000600/CBET000650.txt'>CBET 650</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2006hk"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"SDSS Collaboration"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"-010928"
"galra"	"232029"
"host"	"A232029-0109"
"hvel"	"74700"
"maxday"	"17"
"maxmonth"	"9"
"maxyear"	"2006"
"redshift"	"0.29"
"sndec"	"-01:09:28.2"
"snra"	"23:20:29.54"
"photometry"	"timeunit"	"MJD"	"time"	"53995.5"	"abmag"	"21.3"	"source"	"2,1"
